TIME(s), FPS, ROOM SIZE, GENERATED ROOM, ARCHETYPE, GENERATION BIAS,PARENT,TREE LAYER
1.008721,88,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,null,0
1.008721,88,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,1
2.401097,80,3.5x3.5,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x1 Square Archetype ,1
6.503173,80,3.5x3.5,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 T Archetype ,2
12.10366,80,3.5x3.5,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,1x2 Rectangle Archetype ,3
15.30942,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,4
19.30344,80,3.5x3.5,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x1 Square Archetype ,5
23.80365,80,3.5x3.5,3x2 L Sample Room Variant(Clone),3x2 L Archetype ,50,1x3 Rectangle Archetype ,6
32.30367,80,3.5x3.5,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,1x3 Rectangle Archetype ,6
35.00428,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,2x3 Rectangle Archetype ,7
37.10332,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,8
39.40457,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x1 Square Archetype ,9
40.10063,44,3.5x3.5,3x2 L Sample Room Variant(Clone),3x2 L Archetype ,50,1x1 Square Archetype ,10
46.70383,80,3.5x3.5,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,1x1 Square Archetype ,10
49.90364,80,3.5x3.5,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x3 Rectangle Archetype ,11
55.80442,80,3.5x3.5,2x3 T Sample Room Variant(Clone),2x3 T Archetype ,25,1x3 Rectangle Archetype ,11
57.80348,80,3.5x3.5,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,2x3 T Archetype ,12
60.90394,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,2x1 Rhombus Archetype ,13
62.10377,80,3.5x3.5,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x1 Square Archetype ,14
63.60448,80,3.5x3.5,2x2 Triangle Sample Room Variant(Clone),2x2 Triangle Archetype ,20,2x1 Rhombus Archetype ,15
65.70277,80,3.5x3.5,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,2x2 Triangle Archetype ,16
67.70293,80,3.5x3.5,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,2x1 Rhombus Archetype ,17
69.40376,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,2x1 Rhombus Archetype ,18
80.50381,80,3.5x3.5,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 T Archetype ,12
82.70332,80,3.5x3.5,2x2 Square Sample Room Variant(Clone),2x2 Square Archetype ,20,1x2 Rectangle Archetype ,13
83.40337,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x2 Rectangle Archetype ,13
84.6041,80,3.5x3.5,2x2 Square Sample Room Variant(Clone),2x2 Square Archetype ,20,1x1 Square Archetype ,14
86.10316,80,3.5x3.5,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x2 Square Archetype ,15
88.20333,80,3.5x3.5,2x2 Square Sample Room Variant(Clone),2x2 Square Archetype ,20,1x2 Rectangle Archetype ,16
89.70336,80,3.5x3.5,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x2 Rectangle Archetype ,16
91.40342,80,3.5x3.5,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,2x1 Rhombus Archetype ,17
93.40315,80,3.5x3.5,1x1 Square Sample Room Variant(Clone),1x1 Square Archetype ,8,1x3 Rectangle Archetype ,18
94.20354,80,3.5x3.5,2x2 Triangle Sample Room Variant(Clone),2x2 Triangle Archetype ,20,1x3 Rectangle Archetype ,18
98.40429,80,3.5x3.5,2x1 Rhombus Sample Room Variant(Clone),2x1 Rhombus Archetype ,10,1x3 Rectangle Archetype ,18
100.2047,80,3.5x3.5,2x3 Rectangle Sample Room Variant(Clone),2x3 Rectangle Archetype ,30,2x1 Rhombus Archetype ,19
101.9026,80,3.5x3.5,1x2 Rectangle Sample Room Variant(Clone),1x2 Rectangle Archetype ,10,2x3 Rectangle Archetype ,20
104.103,80,3.5x3.5,1x3 Rectangle Sample Room Variant(Clone),1x3 Rectangle Archetype ,15,2x3 Rectangle Archetype ,20
107.4035,80,3.5x3.5,2x2 Square Sample Room Variant(Clone),2x2 Square Archetype ,20,1x3 Rectangle Archetype ,21
